API_id,cosolvent_id,surfactant_id,oil_id1,API_prop,cosolvent_prop,surfactant_prop,oil_prop1,size,PDI,API_logp,API_sol,API_polar,o_LC,o_sat,s_HLB,c_viscosity
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.191,0.000,0.254,0.429,0.598225313757118,0.231,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.182,0.000,0.242,0.455,0.593391253896452,0.268,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.174,0.000,0.232,0.478,0.435248438454664,0.232,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.182,0.000,0.273,0.409,0.515355716145701,0.204,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.174,0.000,0.261,0.435,0.647256492343873,0.277,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.167,0.000,0.250,0.458,0.58372313417512,0.304,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.174,0.000,0.290,0.391,1.01947910161516,0.189,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.167,0.000,0.278,0.417,0.493947736762751,0.236,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,,CCCCCCCC/C=C/CCCCCCCC(OCCOCC(OCCO)C1C(OCCO)CC(OCCO)O1)=O,CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCCCC,0.160,0.000,0.267,0.440,0.357903480684008,0.237,6.33,0.0126,40.46,0,1,11.5,0
CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,OCCOCCO,CCCCCCC(C/C=C\CCCCCCCC(OCC(COC(CCCCCCC/C=C\CC(CCCCCC)O)=O)OC(CCCCCCC/C=C\CC(CCCCCC)O)=O)=O)O,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(CO)O,0.136,0.080,0.300,0.484,0.275724463052686,0.237,6.33,0.0126,40.46,1,0,15,90
